Id,Start time,Completion time,Email,Name,Gender,Age,session_id_A,Condition Order,The system expressed emotions.,The system understood my goals.,The system considered my mental state.,The system understood my intentions.,The system showed interest in me.,The system understood my needs.,The system seemed emotionally intelligent,I trusted the system.,The system sympathized with me.,The system supported me in coping with an emotional situation.,Question.I think that I would like to use this system frequently.,Question.I found the system unnecessarily complex.,Question.I thought the system was easy to use.,Question.I think that I would need the support of a technical person to be able to use this system.,Question.I found the various functions in this system were well integrated.,Question.I thought there was too much inconsistency in this system.,Question.I would imagine that most people would learn to use this system very quickly.,Question.I found the system very cumbersome to use,Question.I felt very confident using the system.,Question.I needed to learn a lot of things before I could get going with this system.,Is there anything else you would like to share about your experience with this agent?,session_id_B,Condition Order1,The system expressed emotions.1,The system understood my goals.1,The system considered my mental state.1,The system understood my intentions.1,"The system showed interest in me.
 1","The system understood my needs.
 1","The system seemed emotionally intelligent
 1","I trusted the system.
 1","The system sympathized with me.
 1","The system supported me in coping with an emotional situation.
 1",Question.I think that I would like to use this system frequently.1,Question.I found the system unnecessarily complex.1,Question.I thought the system was easy to use.1,Question.I think that I would need the support of a technical person to be able to use this system.1,Question.I found the various functions in this system were well integrated.1,Question.I thought there was too much inconsistency in this system.1,Question.I would imagine that most people would learn to use this system very quickly.1,Question.I found the system very cumbersome to use1,Question.I felt very confident using the system. 1,Question.I needed to learn a lot of things before I could get going with this system.1,Is there anything else you would like to share about your experience with this agent?1
1,27-3-2026 13:07,27-3-2026 13:43,anonymous,,Woman,24,session_1774614307,Prosodic,100,100,100,100,50,80,100,90,100,90,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,"Everything was great but maybe the session reflection is a little bit less accurate (at one or two places) but overall the agent is easy to use, has good responses and gives good advice.",NA,Semantic Only,100,100,80,100,80,100,100,100,100,100,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,It was a nice experience talking to this agent! Thanks
2,27-3-2026 13:45,27-3-2026 14:06,anonymous,,Man,22,NA,Semantic Only,80,78,60,80,76,90,50,60,60,67,Neutral,Strongly Disagree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,"It understands intentions quite well, sometimes shows some attitude which is nice as it feels a bit more humane. Certain negative responses makes ai feel more authentic as it is not people pleasing. I think it was good in the sense that it showed wide array of responses from positive to negative. It would be better if it spoke more eloquently with more various dialects so it feels more unique!",session_1774616548,Prosodic,88,90,90,90,77,99,78,88,77,90,Neutral,Strongly Disagree,Strongly Agree,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Strongly Disagree,"This one answers better, I think its smarter, I like!"
3,27-3-2026 14:15,27-3-2026 14:27,anonymous,,Man,22,NA,Prosodic,20,90,90,80,50,90,90,80,90,90,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,The agent was pretty good at understanding my problem and also the layered emotional state of mine along with it. Its responses were tailored according to my tone,session_1774617414,Semantic Only,0,90,60,90,10,80,50,80,50,70,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,"This agent detected my anxiousness pretty well, as one is before a first date."
4,27-3-2026 14:27,27-3-2026 14:47,anonymous,,Man,25,session_1774618426,Prosodic,85,100,100,100,100,80,80,100,90,90,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,,session_1774618946,Semantic Only,80,100,90,100,100,90,90,100,80,80,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,
5,27-3-2026 14:47,27-3-2026 15:04,anonymous,,Woman,21,session_1774619481,Prosodic,100,85,50,70,50,50,100,85,50,85,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,,session_1774619748,Semantic Only,80,100,100,90,100,90,100,100,100,100,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,"the agent was a bit confused at first, and needed a bit more clarification, but it gave me good advice in the end"
6,27-3-2026 15:19,27-3-2026 15:38,anonymous,,Man,24,session_1774621344,Prosodic,95,80,85,80,90,90,50,92,88,84,Neutral,Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,,NA,Semantic Only,87,100,100,96,94,94,86,100,96,100,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,
7,27-3-2026 15:38,27-3-2026 16:02,anonymous,,Man,25,NA,Prosodic,40,78,45,83,60,40,83,49,30,55,Neutral,Disagree,Strongly Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,"it was too optimistic in its answering approach. conversation with a real person may sometime show an optimistic positive side of the answer, but always starting with something positive feels artificial",session_1774622919,Semantic Only,56,77,34,67,50,73,78,45,23,60,Disagree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,
8,27-3-2026 16:04,27-3-2026 16:25,anonymous,,Man,25,session_1774623947,Prosodic,30,80,50,90,50,90,80,40,40,30,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,"The constant uncertainty prosody of the system (""uhm"", ""uhh"") made me trust the agent's expertise and advice less.",session_1774624690,Semantic Only,60,80,70,80,80,90,70,40,80,70,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,System appeared uncertain which lowered credibility.
9,27-3-2026 18:01,27-3-2026 18:16,anonymous,,Woman,25,session_1774630902,Prosodic,50,80,60,90,50,60,70,30,50,50,Disagree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Disagree,Agree,Agree,Agree,Strongly Disagree,The text is slower than the voice - a little dis-orienting but otherwise gives good advice,session_1774631327,Semantic Only,80,90,60,90,90,80,60,70,30,40,Disagree,Neutral,Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Neutral,Agree,Disagree,
10,28-3-2026 08:12,28-3-2026 08:27,anonymous,,Woman,23,NA,Semantic Only,70,90,100,100,90,100,95,80,100,90,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,No,NA,Prosodic,100,90,95,100,95,100,100,80,100,100,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,No
